"X","BC07_tumor","BC07","BC08_tumor","BC08","BC09_tumor","BC09","BC10_tumor","BC10","GENENAME"
"Xkr4",0,0,54,10,9,0,8,0,"X-linked Kx blood group related 4"
"Rp1",0,1,6,0,0,0,0,0,"retinitis pigmentosa 1 (human)"
"Sox17",2,0,93,0,4,0,1,0,"SRY (sex determining region Y)-box 17"
"Mrpl15",1223,1314,886,1254,2055,1531,941,1567,"mitochondrial ribosomal protein L15"
"Lypla1",1402,1423,1415,1585,1930,1600,1235,1658,"lysophospholipase 1"
"Tcea1",3188,4116,2743,3536,5464,5194,3902,5974,"transcription elongation factor A (SII) 1"
"Rgs20",6,3,13,14,13,2,1,7,"regulator of G-protein signaling 20"
"Atp6v1h",1278,1160,1772,1031,1353,1616,1428,2008,"ATPase, H+ transporting, lysosomal V1 subunit H"
"Oprk1",0,0,1,0,0,0,0,2,"opioid receptor, kappa 1"
"Npbwr1",0,1,1,3,0,0,0,0,"neuropeptides B/W receptor 1"
"Rb1cc1",1031,1003,2246,1238,1504,1010,2129,2235,"RB1-inducible coiled-coil 1"
"Alkal1",1,0,35,8,4,0,22,32,"ALK and LTK ligand 1"
"St18",0,1,3,0,0,0,6,0,"suppression of tumorigenicity 18"
"Pcmtd1",478,480,612,564,716,418,620,589,"protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"Sntg1",0,0,37,0,2,0,1,0,"syntrophin, gamma 1"
"Rrs1",1787,2178,1269,1577,2420,3128,1540,3039,"ribosome biogenesis regulator 1"
"Adhfe1",31,13,4,9,158,13,21,6,"alcohol dehydrogenase, iron containing, 1"
"Vxn",0,0,4,0,0,0,0,1,"vexin"
"Mybl1",163,202,466,280,182,267,174,378,"myeloblastosis oncogene-like 1"
"Vcpip1",849,989,844,1045,1266,1277,800,1141,"valosin containing protein (p97)/p47 complex interacting protein 1"
"Sgk3",134,151,118,12,191,179,59,31,"serum/glucocorticoid regulated kinase 3"
"Gm6195",1,7,0,6,2,4,1,0,"predicted pseudogene 6195"
"Mcmdc2",1,2,0,1,0,2,0,4,"minichromosome maintenance domain containing 2"
"Tcf24",2,5,51,1,49,15,12,22,"transcription factor 24"
"Ppp1r42",0,0,0,3,0,0,0,1,"protein phosphatase 1, regulatory subunit 42"
