X,BC07,BC08,BC09,BC10,GENENAME
Xkr4,0,10,0,0,X-linked Kx blood group related 4
Rp1,1,0,0,0,retinitis pigmentosa 1 (human)
Sox17,0,0,0,0,SRY (sex determining region Y)-box 17
Mrpl15,1314,1254,1531,1567,mitochondrial ribosomal protein L15
Lypla1,1423,1585,1600,1658,lysophospholipase 1
Tcea1,4116,3536,5194,5974,transcription elongation factor A (SII) 1
Rgs20,3,14,2,7,regulator of G-protein signaling 20
Atp6v1h,1160,1031,1616,2008,"ATPase, H+ transporting, lysosomal V1 subunit H"
Oprk1,0,0,0,2,"opioid receptor, kappa 1"
Npbwr1,1,3,0,0,neuropeptides B/W receptor 1
Rb1cc1,1003,1238,1010,2235,RB1-inducible coiled-coil 1
Alkal1,0,8,0,32,ALK and LTK ligand 1
St18,1,0,0,0,suppression of tumorigenicity 18
Pcmtd1,480,564,418,589,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
Sntg1,0,0,0,0,"syntrophin, gamma 1"
Rrs1,2178,1577,3128,3039,ribosome biogenesis regulator 1
Adhfe1,13,9,13,6,"alcohol dehydrogenase, iron containing, 1"
Vxn,0,0,0,1,vexin
Mybl1,202,280,267,378,myeloblastosis oncogene-like 1
Vcpip1,989,1045,1277,1141,valosin containing protein (p97)/p47 complex interacting protein 1
Sgk3,151,12,179,31,serum/glucocorticoid regulated kinase 3
Gm6195,7,6,4,0,predicted pseudogene 6195
Mcmdc2,2,1,2,4,minichromosome maintenance domain containing 2
Tcf24,5,1,15,22,transcription factor 24
Ppp1r42,0,3,0,1,"protein phosphatase 1, regulatory subunit 42"
Cops5,1950,1861,1960,2052,COP9 signalosome subunit 5
Cspp1,309,399,430,457,centrosome and spindle pole associated protein 1
Arfgef1,2130,2004,2854,3242,ARF guanine nucleotide exchange factor 1
Cpa6,0,32,0,63,carboxypeptidase A6
Prex2,319,49,28,81,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
A830018L16Rik,0,0,0,1,RIKEN cDNA A830018L16 gene
Sulf1,243,249,72,556,sulfatase 1
Slco5a1,27,19,510,76,"solute carrier organic anion transporter family, member 5A1"
Prdm14,0,0,0,0,PR domain containing 14
Ncoa2,1174,1198,786,1174,nuclear receptor coactivator 2
Tram1,1876,2198,2392,2306,translocating chain-associating membrane protein 1
Lactb2,614,605,871,1178,"lactamase, beta 2"
Xkr9,0,0,0,0,X-linked Kx blood group related 9
Eya1,185,438,650,392,EYA transcriptional coactivator and phosphatase 1
Msc,0,1,16,0,musculin
Trpa1,39,3,7,23,"transient receptor potential cation channel, subfamily A, member 1"
Kcnb2,0,0,0,0,"potassium voltage gated channel, Shab-related subfamily, member 2"
Terf1,522,390,467,582,telomeric repeat binding factor 1
Sbspon,12,3,5,5,"somatomedin B and thrombospondin, type 1 domain containing"
4930444P10Rik,0,3,2,1,RIKEN cDNA 4930444P10 gene
Rpl7,21099,23660,23946,22538,ribosomal protein L7
Rdh10,446,261,584,488,retinol dehydrogenase 10 (all-trans)
Stau2,282,276,222,479,staufen double-stranded RNA binding protein 2
Ube2w,621,548,547,805,ubiquitin-conjugating enzyme E2W (putative)
Eloc,1700,1454,1573,2405,elongin C
Tmem70,1451,1479,1412,1847,transmembrane protein 70
Ly96,19,28,60,71,lymphocyte antigen 96
Jph1,169,251,385,556,junctophilin 1
Gdap1,5,26,2,4,ganglioside-induced differentiation-associated-protein 1
Pi15,14,60,2,148,peptidase inhibitor 15
Crispld1,31,2,1,5,cysteine-rich secretory protein LCCL domain containing 1
Crisp4,0,0,0,0,cysteine-rich secretory protein 4
Defb18,0,0,0,0,defensin beta 18
Defb41,0,0,0,0,defensin beta 41
Gm28343,0,0,0,0,predicted gene 28343
Tfap2d,0,0,0,0,"transcription factor AP-2, delta"
Tfap2b,8,1,58,0,transcription factor AP-2 beta
Pkhd1,6,0,0,0,polycystic kidney and hepatic disease 1
Il17a,0,0,0,0,interleukin 17A
Il17f,6,4,0,2,interleukin 17F
Mcm3,5201,3700,5289,6441,minichromosome maintenance complex component 3
Paqr8,221,202,54,236,progestin and adipoQ receptor family member VIII
Efhc1,36,61,15,30,EF-hand domain (C-terminal) containing 1
Tram2,275,112,300,235,translocating chain-associating membrane protein 2
Tmem14a,23,68,21,22,transmembrane protein 14A
Gsta3,2,1,2,0,"glutathione S-transferase, alpha 3"
Gm7094,0,0,0,0,predicted pseudogene 7094
Khdc1a,0,0,0,0,KH domain containing 1A
Khdc1c,0,0,0,0,KH domain containing 1C
Khdc1b,0,0,0,0,KH domain containing 1B
Kcnq5,130,193,240,195,"potassium voltage-gated channel, subfamily Q, member 5"
Rims1,4,0,0,0,regulating synaptic membrane exocytosis 1
Ppp1r14bl,0,0,0,0,"protein phosphatase 1, regulatory inhibitor subunit 14B like"
Ogfrl1,152,273,190,290,opioid growth factor receptor-like 1
B3gat2,9,6,13,6,"beta-1,3-glucuronyltransferase 2"
Smap1,585,571,714,897,small ArfGAP 1
Sdhaf4,151,156,153,179,succinate dehydrogenase complex assembly factor 4
Fam135a,618,783,781,834,"family with sequence similarity 135, member A"
Col9a1,194,107,11,0,"collagen, type IX, alpha 1"
Col19a1,6,1,3,0,"collagen, type XIX, alpha 1"
Lmbrd1,562,633,545,518,LMBR1 domain containing 1
Adgrb3,0,0,0,0,adhesion G protein-coupled receptor B3
Gm20172,0,0,0,0,"predicted gene, 20172"
Spata31e2,0,0,0,0,spermatogenesis associated 31 subfamily E member 2
Spata31e5,2,0,0,0,spermatogenesis associated 31 subfamily E member 5
Gm6462,0,0,0,0,predicted gene 6462
Gm46086,0,0,0,0,"predicted gene, 46086"
Phf3,2146,2404,2976,3192,PHD finger protein 3
Ptp4a1,2175,2287,3764,4723,protein tyrosine phosphatase 4a1
Lgsn,0,0,0,0,"lengsin, lens protein with glutamine synthetase domain"
Dnaaf6rt,0,0,0,0,"dynein axonemal assembly factor 6, retrotransposed"
Khdrbs2,4,1,0,0,"KH domain containing, RNA binding, signal transduction associated 2"
Gm9839,4,0,0,0,predicted gene 9839
Semp2l1,11,1,0,0,SUMO/sentrin specific peptidase 2-like 1
Prim2,726,889,973,932,"DNA primase, p58 subunit"
Rab23,532,763,813,1127,"RAB23, member RAS oncogene family"
Bag2,1269,1098,1299,2118,BCL2-associated athanogene 2
Zfp451,665,739,839,1016,zinc finger protein 451
Gm15455,22,19,19,18,predicted gene 15455
Bend6,66,89,117,154,BEN domain containing 6
Dst,3259,4145,4436,7530,dystonin
Ccdc115,494,313,414,461,coiled-coil domain containing 115
Imp4,2010,1770,2794,2247,"IMP4, U3 small nucleolar ribonucleoprotein"
Ptpn18,14,5,7,5,"protein tyrosine phosphatase, non-receptor type 18"
Prss39,0,0,0,0,serine protease 39
Cfc1,69,0,0,0,"cryptic, EGF-CFC family member 1"
Prss40,6,0,0,0,serine protease 40
Amer3,5,0,0,0,APC membrane recruitment 3
Arhgef4,1,11,10,1,Rho guanine nucleotide exchange factor 4
Smim39,0,0,0,0,small integral membrane protein 39
Fam168b,4008,4446,5285,6947,"family with sequence similarity 168, member B"
Plekhb2,443,334,1267,1386,"pleckstrin homology domain containing, family B (evectins) member 2"
Hs6st1,1701,1045,1349,1665,heparan sulfate 6-O-sulfotransferase 1
Uggt1,3477,3127,4221,4747,UDP-glucose glycoprotein glucosyltransferase 1
Neurl3,3,0,10,6,neuralized E3 ubiquitin protein ligase 3
Arid5a,76,212,185,127,AT-rich interaction domain 5A
Kansl3,1133,1279,1357,1902,KAT8 regulatory NSL complex subunit 3
Fer1l5,0,0,2,0,fer-1 like family member 5
Lman2l,349,840,406,439,"lectin, mannose-binding 2-like"
Cnnm4,319,307,927,603,cyclin M4
Cnnm3,557,602,588,729,cyclin M3
Ankrd23,79,98,98,69,ankyrin repeat domain 23
Ankrd39,142,177,112,146,ankyrin repeat domain 39
