X,BC07_tumor,BC08_tumor,BC09_tumor,BC10_tumor,GENENAME
Xkr4,0,54,9,8,X-linked Kx blood group related 4
Rp1,0,6,0,0,retinitis pigmentosa 1 (human)
Sox17,2,93,4,1,SRY (sex determining region Y)-box 17
Mrpl15,1223,886,2055,941,mitochondrial ribosomal protein L15
Lypla1,1402,1415,1930,1235,lysophospholipase 1
Tcea1,3188,2743,5464,3902,transcription elongation factor A (SII) 1
Rgs20,6,13,13,1,regulator of G-protein signaling 20
Atp6v1h,1278,1772,1353,1428,"ATPase, H+ transporting, lysosomal V1 subunit H"
Oprk1,0,1,0,0,"opioid receptor, kappa 1"
Npbwr1,0,1,0,0,neuropeptides B/W receptor 1
Rb1cc1,1031,2246,1504,2129,RB1-inducible coiled-coil 1
Alkal1,1,35,4,22,ALK and LTK ligand 1
St18,0,3,0,6,suppression of tumorigenicity 18
Pcmtd1,478,612,716,620,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
Sntg1,0,37,2,1,"syntrophin, gamma 1"
Rrs1,1787,1269,2420,1540,ribosome biogenesis regulator 1
Adhfe1,31,4,158,21,"alcohol dehydrogenase, iron containing, 1"
Vxn,0,4,0,0,vexin
Mybl1,163,466,182,174,myeloblastosis oncogene-like 1
Vcpip1,849,844,1266,800,valosin containing protein (p97)/p47 complex interacting protein 1
Sgk3,134,118,191,59,serum/glucocorticoid regulated kinase 3
Gm6195,1,0,2,1,predicted pseudogene 6195
Mcmdc2,1,0,0,0,minichromosome maintenance domain containing 2
Tcf24,2,51,49,12,transcription factor 24
Ppp1r42,0,0,0,0,"protein phosphatase 1, regulatory subunit 42"
Cops5,1954,1488,2002,1537,COP9 signalosome subunit 5
Cspp1,274,318,321,270,centrosome and spindle pole associated protein 1
Arfgef1,1770,2281,2558,1960,ARF guanine nucleotide exchange factor 1
Cpa6,3,23,6,51,carboxypeptidase A6
Prex2,487,890,202,102,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2"
A830018L16Rik,0,7,7,7,RIKEN cDNA A830018L16 gene
Sulf1,697,5406,1201,2474,sulfatase 1
Slco5a1,31,541,752,120,"solute carrier organic anion transporter family, member 5A1"
Prdm14,0,0,0,0,PR domain containing 14
Ncoa2,773,946,1222,812,nuclear receptor coactivator 2
Tram1,1667,2695,2695,2312,translocating chain-associating membrane protein 1
Lactb2,524,640,887,689,"lactamase, beta 2"
Xkr9,0,0,4,0,X-linked Kx blood group related 9
Eya1,124,191,1276,108,EYA transcriptional coactivator and phosphatase 1
Msc,2,6,11,4,musculin
Trpa1,40,0,3,11,"transient receptor potential cation channel, subfamily A, member 1"
Kcnb2,0,0,0,0,"potassium voltage gated channel, Shab-related subfamily, member 2"
Terf1,481,336,526,336,telomeric repeat binding factor 1
Sbspon,62,6,12,3,"somatomedin B and thrombospondin, type 1 domain containing"
4930444P10Rik,0,3,1,1,RIKEN cDNA 4930444P10 gene
Rpl7,17578,14316,27778,17720,ribosomal protein L7
Rdh10,648,583,657,592,retinol dehydrogenase 10 (all-trans)
Stau2,290,399,665,447,staufen double-stranded RNA binding protein 2
Ube2w,605,918,1031,759,ubiquitin-conjugating enzyme E2W (putative)
Eloc,1640,1857,2000,1901,elongin C
Tmem70,1464,1830,2432,1710,transmembrane protein 70
Ly96,31,68,61,51,lymphocyte antigen 96
Jph1,154,311,328,346,junctophilin 1
Gdap1,8,16,8,14,ganglioside-induced differentiation-associated-protein 1
Pi15,4,675,85,317,peptidase inhibitor 15
Crispld1,53,24,4,6,cysteine-rich secretory protein LCCL domain containing 1
Crisp4,0,0,0,0,cysteine-rich secretory protein 4
Defb18,0,0,0,0,defensin beta 18
Defb41,0,0,0,0,defensin beta 41
Gm28343,0,0,0,0,predicted gene 28343
Tfap2d,0,0,0,0,"transcription factor AP-2, delta"
Tfap2b,0,23,173,4,transcription factor AP-2 beta
Pkhd1,0,2,0,2,polycystic kidney and hepatic disease 1
Il17a,0,0,0,0,interleukin 17A
Il17f,3,0,1,0,interleukin 17F
Mcm3,4641,2414,3632,3250,minichromosome maintenance complex component 3
Paqr8,209,327,125,251,progestin and adipoQ receptor family member VIII
Efhc1,32,24,96,56,EF-hand domain (C-terminal) containing 1
Tram2,264,459,233,267,translocating chain-associating membrane protein 2
Tmem14a,25,57,55,37,transmembrane protein 14A
Gsta3,1,21,4,2,"glutathione S-transferase, alpha 3"
Gm7094,0,0,0,0,predicted pseudogene 7094
Khdc1a,0,0,0,0,KH domain containing 1A
Khdc1c,0,0,0,0,KH domain containing 1C
Khdc1b,0,0,0,0,KH domain containing 1B
Kcnq5,135,90,232,128,"potassium voltage-gated channel, subfamily Q, member 5"
Rims1,2,9,0,3,regulating synaptic membrane exocytosis 1
Ppp1r14bl,0,1,0,0,"protein phosphatase 1, regulatory inhibitor subunit 14B like"
Ogfrl1,211,275,340,290,opioid growth factor receptor-like 1
B3gat2,3,7,13,7,"beta-1,3-glucuronyltransferase 2"
Smap1,514,775,695,678,small ArfGAP 1
Sdhaf4,149,125,202,154,succinate dehydrogenase complex assembly factor 4
Fam135a,543,609,1004,664,"family with sequence similarity 135, member A"
Col9a1,266,2,792,0,"collagen, type IX, alpha 1"
