,BC07_tumor,BC07,BC08_tumor,BC08,BC09_tumor,BC09,BC10_tumor,BC10
Xkr4,0,0,54,10,9,0,8,0
Rp1,0,1,6,0,0,0,0,0
Sox17,2,0,93,0,4,0,1,0
Mrpl15,1223,1314,886,1254,2055,1531,941,1567
Lypla1,1402,1423,1415,1585,1930,1600,1235,1658
Tcea1,3188,4116,2743,3536,5464,5194,3902,5974
Rgs20,6,3,13,14,13,2,1,7
Atp6v1h,1278,1160,1772,1031,1353,1616,1428,2008
Oprk1,0,0,1,0,0,0,0,2
Npbwr1,0,1,1,3,0,0,0,0
Rb1cc1,1031,1003,2246,1238,1504,1010,2129,2235
Alkal1,1,0,35,8,4,0,22,32
St18,0,1,3,0,0,0,6,0
Pcmtd1,478,480,612,564,716,418,620,589
Sntg1,0,0,37,0,2,0,1,0
Rrs1,1787,2178,1269,1577,2420,3128,1540,3039
Adhfe1,31,13,4,9,158,13,21,6
Vxn,0,0,4,0,0,0,0,1
Mybl1,163,202,466,280,182,267,174,378
Vcpip1,849,989,844,1045,1266,1277,800,1141
Sgk3,134,151,118,12,191,179,59,31
Gm6195,1,7,0,6,2,4,1,0
Mcmdc2,1,2,0,1,0,2,0,4
Tcf24,2,5,51,1,49,15,12,22
Ppp1r42,0,0,0,3,0,0,0,1
Cops5,1954,1950,1488,1861,2002,1960,1537,2052
Cspp1,274,309,318,399,321,430,270,457
Arfgef1,1770,2130,2281,2004,2558,2854,1960,3242
Cpa6,3,0,23,32,6,0,51,63
Prex2,487,319,890,49,202,28,102,81
A830018L16Rik,0,0,7,0,7,0,7,1
Sulf1,697,243,5406,249,1201,72,2474,556
Slco5a1,31,27,541,19,752,510,120,76
Prdm14,0,0,0,0,0,0,0,0
Ncoa2,773,1174,946,1198,1222,786,812,1174
Tram1,1667,1876,2695,2198,2695,2392,2312,2306
Lactb2,524,614,640,605,887,871,689,1178
Xkr9,0,0,0,0,4,0,0,0
Eya1,124,185,191,438,1276,650,108,392
Msc,2,0,6,1,11,16,4,0
Trpa1,40,39,0,3,3,7,11,23
Kcnb2,0,0,0,0,0,0,0,0
Terf1,481,522,336,390,526,467,336,582
Sbspon,62,12,6,3,12,5,3,5
4930444P10Rik,0,0,3,3,1,2,1,1
Rpl7,17578,21099,14316,23660,27778,23946,17720,22538
Rdh10,648,446,583,261,657,584,592,488
Stau2,290,282,399,276,665,222,447,479
